Campaign,Campaign Type,Campaign Status,Bid Strategy Type,Budget,Budget Type,Networks,Ad Group,Ad Group Status,Ad Group Type,Keyword,Match Type,Keyword Status,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Precio,,,,,,Responsive Search Ad,Bypass Gástrico - Precio,Financiación Disponible,Perdé 60-80% Exceso de Peso,Dr. Pablo Rodríguez,Presupuesto Sin Compromiso,Cirujano Certificado,Planes de Pago Accesibles,Operación Bypass Gástrico,Precio Competitivo,Consultá Hoy Mismo,+15 Años de Experiencia,Clínica en Resistencia,Gold Standard en Cirugía,Atención Personalizada,Turno Online,Consultá el precio del bypass gastrico. Financiación disponible.,Mejor equipo en Resistencia Chaco. Pedí tu presupuesto personalizado.,Planes de pago accesibles para tu cirugía. +15 años de experiencia.,Precio competitivo con atención de primer nivel. Agendá tu consulta.,https://grupobym.com.ar/lp/bypass-gastrico,bypass,precio,Active
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Resultados,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Resultados,,,bypass gastrico resultados,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Resultados,,,bypass gastrico antes y despues,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Resultados,,,cuanto se baja con bypass gastrico,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bypass Gástrico - Búsqueda,,,,,,,Bypass Gástrico - Resultados,,,,,,Responsive Search Ad,Bypass Gástrico - Resultados,Perdé 60-80% Exceso de Peso,Casos de Éxito Comprobados,Dr. Pablo Rodríguez,Antes y Después Reales,Transformá Tu Vida Hoy,+15 Años de Experiencia,Cirujano Certificado,Pacientes Satisfechos,Cambio de Vida Real,Técnica Laparoscópica,Gold Standard Mundial,Consultá Sin Compromiso,Equipo Especializado,Resultados Comprobados,Nuestros pacientes pierden 60-80% del exceso de peso. Resultados reales.,Casos de éxito reales. +15 años transformando vidas en Resistencia.,Resultados comprobados con técnica laparoscópica. Recuperación rápida.,Comenzá tu transformación hoy. Consultá sin compromiso.,https://grupobym.com.ar/lp/bypass-gastrico,bypass,resultados,Active
Manga Gástrica - Búsqueda,Search,Paused,Maximize Conversions,5000,Daily,Google Search; Search Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,manga gastrica,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,manga gastrica argentina,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,sleeve gastrico,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,gastrectomia en manga,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,manga gastrica resistencia,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,manga gastrica chaco,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,operacion manga gastrica,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - General,,,,,,Responsive Search Ad,Manga Gástrica Resistencia,Dr. Pablo Rodríguez,La Cirugía Más Realizada,Recuperación Rápida,Cirujano Certificado,+15 Años de Experiencia,Técnica Laparoscópica,Consultá Sin Compromiso,Operación Manga Gástrica,Equipo Especializado,Sleeve Gástrico,Atención Personalizada,Clínica en Resistencia,Turno Online Disponible,Resultados Comprobados,La manga gastrica es la cirugía más realizada del mundo. Recuperación rápida.,Técnica laparoscópica. Mínima invasión y recuperación en pocos días.,+15 años de experiencia en cirugía bariátrica en Resistencia Chaco.,Equipo especializado. Acompañamiento pre y postoperatorio. Agendá turno.,https://grupobym.com.ar/lp/manga-gastrica,manga,gastrica,Active
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,,,manga gastrica precio,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,,,manga gastrica costo,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,,,cuanto sale manga gastrica,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,,,precio operacion manga,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Precio,,,,,,Responsive Search Ad,Manga Gástrica - Precio,Financiación Disponible,La Cirugía Más Realizada,Dr. Pablo Rodríguez,Presupuesto Sin Compromiso,Planes de Pago Accesibles,Precio Competitivo,Recuperación Rápida,Consultá Hoy Mismo,+15 Años de Experiencia,Cirujano Certificado,Clínica en Resistencia,Operación Manga Gástrica,Atención Personalizada,Turno Online,Consultá el precio de la manga gastrica. Financiación disponible.,Mejor equipo de Chaco. Pedí tu presupuesto personalizado sin compromiso.,Planes de pago accesibles. La operación más realizada en el mundo.,Precio competitivo y atención de primer nivel. Agendá tu consulta.,https://grupobym.com.ar/lp/manga-gastrica,manga,precio,Active
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Recuperación,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Recuperación,,,manga gastrica recuperacion,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Recuperación,,,manga gastrica postoperatorio,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Recuperación,,,manga gastrica riesgos,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Manga Gástrica - Búsqueda,,,,,,,Manga Gástrica - Recuperación,,,,,,Responsive Search Ad,Manga Gástrica - Recuperá,Volvé a Tu Rutina en Días,Técnica Laparoscópica,Dr. Pablo Rodríguez,Mínima Invasión,Cirujano Certificado,+15 Años de Experiencia,Internación Breve,Postoperatorio Simple,Sin Cortes Grandes,Consultá Sin Compromiso,Equipo Especializado,La Cirugía Más Realizada,Clínica en Resistencia,Atención Personalizada,Manga gástrica con recuperación rápida. Técnica laparoscópica.,Volvé a tu rutina en pocos días. Internación breve y postop simple.,Cirugía laparoscópica sin cortes grandes. +15 años de experiencia.,Acompañamiento completo en tu recuperación. Consultá sin compromiso.,https://grupobym.com.ar/lp/manga-gastrica,manga,recuperacion,Active
Cirugía Metabólica - Búsqueda,Search,Paused,Maximize Conversions,3000,Daily,Google Search; Search Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,cirugia metabolica diabetes,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,cirugia para diabetes tipo 2,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,operacion para curar diabetes,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,remision diabetes cirugia,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,tratamiento quirurgico diabetes,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - Diabetes,,,,,,Responsive Search Ad,Cirugía Metabólica Diabetes,Remisión Diabetes Tipo 2,Dr. Pablo Rodríguez,Tratamiento Quirúrgico,Más Allá de la Medicación,+15 Años de Experiencia,Cirujano Certificado,Consultá Sin Compromiso,Solución para Diabetes,Resultados Comprobados,Dejá la Insulina,Técnica Laparoscópica,Equipo Especializado,Clínica en Resistencia,Atención Personalizada,La cirugía metabólica logra remisión de diabetes tipo 2. Consultá hoy.,Más allá de la medicación: solución real para la diabetes tipo 2.,Resultados comprobados en remisión de diabetes. +15 años experiencia.,Tratamiento quirúrgico cuando la medicación no alcanza. Agendá turno.,https://grupobym.com.ar/lp/cirugia-metabolica,cirugia,metabolica,Active
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - General,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - General,,,cirugia metabolica,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - General,,,cirugia metabolica argentina,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - General,,,cirugia metabolica precio,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Cirugía Metabólica - Búsqueda,,,,,,,Cirugía Metabólica - General,,,,,,Responsive Search Ad,Cirugía Metabólica,Dr. Pablo Rodríguez,Tratá Diabetes y Obesidad,Cirujano Certificado,+15 Años de Experiencia,Técnica Laparoscópica,Consultá Sin Compromiso,Equipo Especializado,Resultados Comprobados,Clínica en Resistencia,Turno Online Disponible,Atención Personalizada,Solución Quirúrgica,Mejorá Tu Calidad de Vida,Acompañamiento Completo,Cirugía metabólica con el Dr. Rodríguez. Tratamiento para diabetes.,Equipo especializado en cirugía metabólica. Técnica laparoscópica.,+15 años de experiencia. Consultá y mejorá tu calidad de vida.,Acompañamiento pre y postoperatorio completo. Agendá tu turno hoy.,https://grupobym.com.ar/lp/cirugia-metabolica,cirugia,metabolica,Active
Bariátrica Paraguay - Búsqueda,Search,Paused,Maximize Conversions,5000,Daily,Google Search; Search Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,cirugia bariatrica precio paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,operarse en argentina desde paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,cirugia bariatrica barata,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,bypass gastrico precio paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,manga gastrica precio paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Precio,,,,,,Responsive Search Ad,Cirugía Bariátrica 50% Menos,Desde Paraguay a Argentina,Precio Imbatible,Dr. Pablo Rodríguez,Paquete Todo Incluido,Uber Desde Asunción,Ahorrá en Tu Cirugía,Misma Calidad Menor Precio,+15 Años de Experiencia,Financiación Disponible,Consultá Precio Final,Cirujano Certificado,Sin Costos Ocultos,Presupuesto Sin Compromiso,Equipo Especializado,Cirugía bariátrica hasta 50% menos. Paquete todo incluido desde Asunción.,Operáte en Argentina y ahorrá. Precio imbatible. Consultá hoy.,Misma calidad a menor precio. Paquete con Uber desde Asunción incluido.,Sin costos ocultos. Presupuesto final sin compromiso. Financiación.,https://grupobym.com.ar/lp/cirugia-bariatrica-paraguay,cirugia,paraguay,Active
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - General,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - General,,,cirugia bariatrica paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - General,,,cirugia bariatrica asuncion,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - General,,,cirugia obesidad paraguay,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - General,,,,,,Responsive Search Ad,Bariátrica para Paraguayos,Operáte en Argentina,Dr. Pablo Rodríguez,Cirujano Certificado,+15 Años de Experiencia,A Horas de Asunción,Consultá Sin Compromiso,Equipo Especializado,Técnica Laparoscópica,Paquete Todo Incluido,Clínica de Primer Nivel,Resultados Comprobados,Turno Online Disponible,Traslado Incluido,Atención Personalizada,Cirugía bariátrica de primer nivel en Resistencia. A horas de Asunción.,+15 años de experiencia atendiendo pacientes de Paraguay. Todo incluido.,Equipo certificado. Técnica laparoscópica. Recuperación rápida.,Operáte en Argentina con la mejor atención. Traslado incluido.,https://grupobym.com.ar/lp/cirugia-bariatrica-paraguay,cirugia,paraguay,Active
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Paquete,Active,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Paquete,,,turismo medico argentina cirugia,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Paquete,,,paquete cirugia bariatrica argentina,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Paquete,,,cirugia bariatrica todo incluido,Phrase,Active,,,,,,,,,,,,,,,,,,,,,,,,
Bariátrica Paraguay - Búsqueda,,,,,,,Paraguay - Paquete,,,,,,Responsive Search Ad,Paquete Bariátrico Incluido,Uber Desde Asunción,Cirugía + Traslado + Hotel,Dr. Pablo Rodríguez,Sin Preocupaciones,50% Menos que en Paraguay,+15 Años de Experiencia,Consultá Sin Compromiso,Todo Coordinado,Cirujano Certificado,Atención Personalizada,Paquete Completo,Operáte en Argentina,Equipo Especializado,Precio Final Sin Sorpresas,Paquete todo incluido: cirugía + Uber desde Asunción + acompañamiento.,Nos encargamos de todo. Vos solo preocupáte por tu recuperación.,Paquete completo hasta 50% menos. Dr. Rodríguez +15 años experiencia.,Precio final sin sorpresas. Agendá tu consulta online hoy.,https://grupobym.com.ar/lp/cirugia-bariatrica-paraguay,cirugia,paquete,Active
